x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
RIN3,8.5753,8.6587,8.7192,8.4857,8.6855,8.6245,8.2347,8.0651,7.1104,9.3043,9.0912,8.7957,8.4359,8.7369,8.5809,0.050184189,2.040445168,2247,2446,2346.5,10
RIPPLY3,4.3923,4.3923,4.3923,5.5217,5.4198,4.7991,4.997,4.3923,4.3923,5.3313,4.3923,5.9947,7.3982,7.6702,7.2294,0.006719114,7.322940756,764,214,489,7
RNASE4,4.3923,4.3923,4.3923,6.4048,7.3041,8.6953,7.1233,8.5967,7.7241,6.6997,5.5143,5.4386,7.5207,7.1342,6.0906,0.108009485,3.867871789,2709,671,1690,5
RNASE6,4.3923,4.3923,4.3923,8.9655,9.481,10.3391,7.7543,9.7784,9.0487,4.3923,4.3923,4.3923,6.9235,4.3923,4.3923,0.025044882,26.42968666,1746,19,882.5,5
RNASEH2C,10.2458,10.1318,9.9992,10.371,10.2224,10.2098,9.4186,9.4469,9.6271,9.9996,10.11,10.1189,10.2714,10.1989,10.1953,0.003470194,1.65013977,376,2791,1583.5,10
RNASET2A.RNASET2B,12.6251,12.4713,12.6015,12.3371,12.3542,12.3532,12.3407,12.4029,12.3832,11.9606,11.986,12.0311,11.9603,12.0252,11.9893,0.001470308,1.30499218,132,3028,1580,3
RND1,4.3923,4.3923,4.3923,4.9356,4.3923,5.087,5.058,4.9174,5.3466,5.6068,6.0108,5.7464,4.9505,4.3923,4.4343,0.022413973,2.323398836,1650,1810,1730,6
RND3,4.3923,4.4115,4.5089,8.4327,8.7338,10.1344,7.0265,9.3537,8.659,4.3923,5.3908,5.3552,7.9999,5.5424,5.5104,0.082092849,10.09691729,2543,105,1324,5
RNF113A2,9.5961,9.3511,9.6473,9.5532,9.4092,9.4186,9.7884,9.7528,9.8871,9.1691,9.3302,9.2765,9.0355,8.8667,9.0637,0.003093208,1.686445615,344,2767,1555.5,4
RNF122,6.1232,5.9633,6.02,4.5208,5.0729,5.8027,5.5256,6.0867,5.4497,4.9513,4.3923,4.3923,4.3923,4.3923,4.3923,0.01896946,2.253268485,1531,1923,1727,3
